,Description,Impact,PFP,Sentiment,Sentiment Score,Keywords-Description,Keywords-Impact,Summary,Status
Kyle Lowry,Head coach Erik Spoelstra indicated Thursday that Lowry (knee) would remain out indefinitely- Ira Winderman of the South Florida Sun-Sentinel reports.,Lowry missed six consecutive games heading into the All-Star break- and it appears he'll miss at least a few more contests while dealing with lingering knee pain. Winderman relays that Lowry left Thursday's practice without comment- despite several requests- so the veteran point guard's status moving forward is murky- at best. Gabe Vincent figures to be the primary beneficiary of Lowry's prolonged absence.,https://b.fssta.com/uploads/application/nba/headshots/1362.vresize.280.280.medium.20.png,NEGATIVE,0.998777568,coach Erik Spoelstra- South Florida Sun-Sentinel- Head coach Erik- Florida Sun-Sentinel reports- Thursday that Lowry- Ira Winderman- Spoelstra indicated Thursday- South Florida- knee- remain out indefinitely,lingering knee pain- consecutive games heading- All-Star break- knee pain- missed six consecutive- contests while dealing- dealing with lingering- Lowry left Thursday- Lowry missed- left Thursday practice,lowry missed six consecutive games heading into the All-Star break . he'll miss at least a few more contests while,Lowry (knee) would remain out indefinitely
Robert Williams III,Williams will start Thursday's game versus the Pacers.,Williams will return to the starting lineup for Boston's first game of the second-half schedule. The big man has started only 13 of his 23 appearances this year- averaging 8.8 points- 10.1 rebounds- 2.1 assists and 1.6 steals-plus-blocks in 27.2 minutes during those contests. It's safe to assume he'll garner a similar role Thursday after getting extended time off during the All-Star break.,https://b.fssta.com/uploads/application/nba/headshots/2512.vresize.280.280.medium.90.png,NEGATIVE,0.974336445,start Thursday game- Thursday game versus- versus the Pacers- Williams will start- Pacers- Thursday- Williams- start- game- versus,lineup for Boston- Boston first game- Williams will return- second-half schedule- starting lineup- Boston- similar role Thursday- appearances this year- Williams- schedule,the big man has started only 13 of his 23 appearances this year . he has averaging 8.8 points- 10.1 ,Williams will start Thursday's game versus the Pacers
Kelly Oubre Jr.,Oubre (hand) is probable for Friday's game against the Timberwolves.,Oubre hasn't played since Dec. 29. He underwent surgery to address a left hand injury Jan. 5 and was struggling to make any progress in rehab. However- the extended time off during the All-Star break was beneficial for the lefty forward. Given the injury wasn't to his lower body- Oubre shouldn't have any conditioning concerns during his expected return- but he may be a bit rusty offensively. With the Hornets close to full strength- he figures to operate as a reserve- but he should still garner significant usage when he's back to full speed.,https://b.fssta.com/uploads/application/nba/headshots/2062.vresize.280.280.medium.46.png,POSITIVE,0.653371394,Oubre- hand- probable for Friday- Friday game- Timberwolves- probable- game,hand injury Jan.- left hand injury- played since Dec.- progress in rehab- underwent surgery- surgery to address- address a left- struggling to make- make any progress- Dec.,the lefty forward hasn't played since Dec. 29 . he underwent surgery to address a left hand injury .,Oubre (hand
Terry Rozier,Rozier (hand) is probable for Friday's game against the Timberwolves.,Rozier was unavailable for the Hornets' final game before the All-Star break due to a right hand sprain- but he'll likely be back in action when the team resumes play Friday. Over his last 10 appearances- he's averaged 23.6 points- 4.9 rebounds- 3.8 assists and 1.7 steals in 35.2 minutes per game.,https://b.fssta.com/uploads/application/nba/headshots/2063.vresize.280.280.medium.46.png,NEGATIVE,0.773436844,Rozier- hand- probable for Friday- Friday game- Timberwolves- probable- game,resumes play Friday- Hornets' final game- All-Star break due- team resumes play- Rozier was unavailable- hand sprain- break due- back in action- Friday- Hornets',he's averaged 23.6 points- 4.9 rebounds- 3.8 assists and 1.7 steals in 35.2 minutes per game,Rozier (hand
OG Anunoby,Anunoby (wrist) is available for Thursday's game against the Pelicans- Michael Grange of Sportsnet.ca reports.,Anunoby will return from a sprained left wrist Thursday after nine consecutive absences. The Raptors trading for Jakob Poeltl has clouded the team's starting five when everyone is healthy- though Anunoby may come off the bench while he gets his wind back. He's in the midst of a strong season and is leading the NBA with 2.1 steals per game.,https://b.fssta.com/uploads/application/nba/headshots/2369.vresize.280.280.medium.98.png,POSITIVE,0.979652643,Michael Grange- Grange of Sportsnet.ca- Sportsnet.ca reports- Anunoby- wrist- Thursday game- Pelicans- Michael- Grange- reports,left wrist Thursday- sprained left wrist- consecutive absences- Jakob Poeltl- Anunoby will return- Thursday- Raptors trading- trading for Jakob- Poeltl has clouded- Anunoby,anunoby will return from a sprained left wrist after nine consecutive absences . the Raptors trading for jak,Anunoby (wrist
Ben Simmons,Simmons is questionable for Friday's game versus the Bulls due to left knee soreness- Alex Schiffer of The Athletic reports.,Simmons' potential absence could result in extended minutes for Edmond Sumner- Cam Thomas and Yuta Watanabe. If Simmons cannot suit up against Chicago- his next opportunity to play will be Sunday's matchup with Atlanta.,https://b.fssta.com/uploads/application/nba/headshots/2208.vresize.280.280.medium.31.png,NEGATIVE,0.981586874,Friday game versus- left knee soreness- Alex Schiffer- Athletic reports- questionable for Friday- versus the Bulls- Bulls due- Simmons is questionable- due to left- left knee,Edmond Sumner- Cam Thomas- Yuta Watanabe- Thomas and Yuta- Simmons' potential absence- minutes for Edmond- Sumner- Cam- absence could result- result in extended,if Simmons cannot suit up against Chicago- his next opportunity will be Sunday's matchup with Atlanta . if he cannot suit,left knee soreness
Jamal Murray,Head coach Michael Malone said Murray (knee) will play Thursday against the Cavaliers- Spencer Davies of BasketballNews.com reports.,Murray missed Denver's final six games before the All-Star break due to right knee soreness- and while he deemed himself healthy- he was initially listed as questionable for the Nuggets' first game of the second-half schedule. However- it appears that listing was merely a formality- as his head coach officially cleared the dynamic point guard. Given it'll be Murray's first time suiting up since Feb. 4- he may operate under a minutes restriction- but it's safe to assume he'll garner his usual role in the starting lineup. Before his absence- Murray played extremely well- posting 28.0 points- 7.6 assists- 4.6 rebounds and 1.3 steals while shooting 51.9 percent from the field and 42.9 percent from deep in his last eight appearances.,https://b.fssta.com/uploads/application/nba/headshots/2210.vresize.280.280.medium.31.png,POSITIVE,0.997615933,coach Michael Malone- Head coach Michael- Malone said Murray- Spencer Davies- knee- play Thursday- Davies of BasketballNews.com- BasketballNews.com reports- Murray- Cavaliers,missed Denver final- Murray missed Denver- All-Star break due- knee soreness- deemed himself healthy- second-half schedule- break due- initially listed- listed as questionable- Nuggets' first game,he was initially listed as questionable for the Nuggets' first game of the second-half schedule . but it appears that,Murray
Bobby Portis,Portis (knee) isn't on the injury report for Friday's game against the Heat.,Portis was expected to return to action Friday after participating fully in practice recently- and he's officially been cleared to suit up as the Bucks resume play following the All-Star break. He may face a minutes restriction against Miami- and the Bucks also acquired Jae Crowder recently- who should share some of the work in the frontcourt.,https://b.fssta.com/uploads/application/nba/headshots/2071.vresize.280.280.medium.49.png,POSITIVE,0.990188897,report for Friday- Friday game- injury report- Portis- knee- Heat- injury- report- game,Bucks resume play- Jae Crowder recently- action Friday- Friday after participating- Portis was expected- All-Star break- acquired Jae Crowder- expected to return- return to action- participating fully,portis was expected to return to action after participating fully in practice recently . he's officially cleared to suit up as the Bucks,Portis
Giannis Antetokounmpo,Antetokounmpo (wrist) is doubtful for Friday's game versus Miami.,Antetokounmpo was limited during Wednesday's practice and will likely sit out Milwaukee's first game after the All-Star festivities due to a right wrist sprain he suffered in the Bucks' final before the break. The MVP candidate's X-rays came back negative- but despite the encouraging news- it was expected the Bucks might keep Antetokounmpo sidelined for a few games to avoid any potential setbacks. If he's indeed ruled out- Jrue Holiday figures to operate as Milwaukee's primary playmaker- while Joe Ingles- Bobby Portis and Jae Crowder should have clear paths to 20-plus minutes.,https://b.fssta.com/uploads/application/nba/headshots/1851.vresize.280.280.medium.79.png,NEGATIVE,0.98663646,game versus Miami- Friday game versus- Antetokounmpo- wrist- doubtful for Friday- Miami- Friday- doubtful- game- versus,All-Star festivities due- limited during Wednesday- Wednesday practice- Bucks' final- MVP candidate X-rays- wrist sprain- sprain he suffered- Jrue Holiday figures- Milwaukee primary playmaker- Antetokounmpo was limited,Antetokounmpo suffered a right wrist sprain in the Bucks' final before the break . he,Antetokounmpo (wrist) is doubtful
Khris Middleton,Middleton (knee) isn't on the injury report for Friday's game against the Heat.,Middleton was unavailable for two of the Bucks' three games ahead of the All-Star break but fully participated in practice over the last few days. He's had limited minutes off the bench since returning to action in late January and has averaged 15.3 points- 4.7 rebounds and 3.6 assists in 19.5 minutes per game over his 10 appearances during that time. It's unclear whether he'll rejoin the starting lineup or have any restrictions Friday.,https://b.fssta.com/uploads/application/nba/headshots/1767.vresize.280.280.medium.68.png,NEGATIVE,0.976196945,report for Friday- Friday game- injury report- Middleton- knee- Heat- injury- report- game,Middleton was unavailable- All-Star break- break but fully- fully participated- participated in practice- games ahead- Bucks' three games- Bucks'- late January- Middleton,middleton has had limited minutes off the bench since returning to action in late January . he has averaged 15.3 points- ,Middleton (knee)
Trae Young,Young was excused from Thursday's practice session due to personal reasons- Jeff Schultz of The Athletic reports.,The Hawks return from the All-Star break Friday against the Cavaliers- and it's not yet clear whether Young will be available after missing Thursday's practice session. He posted five consecutive double-doubles heading into the layoff- averaging 24.0 points- 14.0 assists- 3.4 rebounds and 2.0 steals in 34.6 minutes per game. If he's unavailable Friday- Aaron Holiday and Vit Krejci could see some extra playing time.,https://b.fssta.com/uploads/application/nba/headshots/2490.vresize.280.280.medium.80.png,NEGATIVE,0.991007626,Jeff Schultz- Thursday practice session- Athletic reports- practice session due- excused from Thursday- Young was excused- personal reasons- Jeff- due to personal- Thursday,Thursday practice session- missing Thursday practice- All-Star break Friday- Hawks return- clear whether Young- Cavaliers- Aaron Holiday- Hawks- Young- Thursday,the Hawks return from the all-Star break against the Cavaliers . Young posted five consecutive double-doubles heading into the lay,Young was excused from Thursday's practice session
John Collins,Collins (concussion) has been ruled out for Friday's game against Cleveland- Kevin Chouinard of the Hawks' official site reports.,Collins landed in the NBA's concussion protocol Saturday and was unable to gain clearance during the All-Star break. His next chance to play will be Sunday against Brooklyn.,https://b.fssta.com/uploads/application/nba/headshots/2360.vresize.280.280.medium.96.png,NEGATIVE,0.999149084,Kevin Chouinard- Hawks' official site- official site reports- game against Cleveland- Collins- concussion- Friday game- Cleveland- Kevin- Hawks',NBA concussion protocol- protocol Saturday- Collins landed- All-Star break- unable to gain- gain clearance- Sunday against Brooklyn- NBA- Saturday- Collins,Collins landed in the NBA's concussion protocol . he was unable to gain clearance during the All-Star break,concussion
Mitchell Robinson,Robinson (thumb) participated in Thursday's practice session- Ian Begley of SportsNet New York reports.,Robinson also practiced Wednesday- and he felt good after each session. However- coach Tom Thibodeau said Thursday that the Knicks will wait to see how Robinson feels Friday before determining his status for that night's game against Washington. The center hasn't played since Jan. 18 after undergoing thumb surgery- but he's trending in the right direction following the All-Star break.,https://b.fssta.com/uploads/application/nba/headshots/2529.vresize.280.280.medium.68.png,POSITIVE,0.995623052,Thursday practice session- Ian Begley- participated in Thursday- York reports- Robinson- thumb- Begley of SportsNet- SportsNet New York- Ian- Thursday,practiced Wednesday- coach Tom Thibodeau- Robinson feels Friday- felt good- Thibodeau said Thursday- Wednesday- coach Tom- game against Washington- Knicks will wait- Friday before determining,the center hasn't played since undergoing thumb surgery since Jan. 18 . he's trending in the right direction following,Robinson (thumb
Jerami Grant,Grant has been ruled out for Thursday's matchup in Sacramento due to rest purposes.,The Trail Blazers were delayed in Portland due to weather-related issues and have ruled out Grant and Damian Lillard due to rest before they finally take off. Grant was expected to suit up Thursday after missing Portland's final two games before the All-Star break due to a concussion- but he'll now turn his sights on gearing up for Sunday's home matchup versus Houston. In his absence- Cam Reddish- Matisse Thybulle- Nassir Little and Jabari Walker are all candidates for increased roles.,https://b.fssta.com/uploads/application/nba/headshots/1944.vresize.280.280.medium.38.png,POSITIVE,0.658282459,Thursday matchup- matchup in Sacramento- Sacramento due- rest purposes- due to rest- Thursday- Grant- ruled- matchup- due,Damian Lillard due- Trail Blazers- Blazers were delayed- weather-related issues- missing Portland final- Grant and Damian- matchup versus Houston- Portland due- due to weather-related- due to rest,the Trail Blazers were delayed in Portland due to weather-related issues . Grant was expected to suit up after missing the final two games,Grant
Damian Lillard,Lillard is out for Thursday's game versus the Kings due to rest.,Lillard will miss his first game since Dec. 3 on Thursday. His late addition to the injury report is somewhat peculiar as this is Portland's first game back from the All-Star break- and the team doesn't play against until Sunday. The star guard's absence could be due to the Trail Blazers' flight to Sacramento being delayed significantly because of weather issues- Chris Haynes of Turner Sports reports. Regardless- Lillard should be good to go against Houston on Sunday.,https://b.fssta.com/uploads/application/nba/headshots/1810.vresize.280.280.medium.72.png,NEGATIVE,0.997253001,Thursday game versus- versus the Kings- Kings due- due to rest- Thursday- Lillard- rest- game- versus- due,game since Dec.- Turner Sports reports- Portland first game- Trail Blazers' flight- Dec.- Thursday- Chris Haynes- Lillard will miss- Haynes of Turner- game back,the star guard's absence could be due to the flight to Sacramento being delayed due to weather issues . the team doesn't play against,due to rest
Bradley Beal,Beal (knee) is questionable for Friday's game against the Cavaliers- Neil Dalal of Hoop District reports.,Beal was unable to practice for a second consecutive day Thursday- and his status for the Wizards' first game following the All-Star break is up in the air. If the 29-year-old is unavailable Friday due to his right knee soreness- Deni Avdija and Monte Morris would likely see increased run for Washington.,https://b.fssta.com/uploads/application/nba/headshots/1818.vresize.280.280.medium.75.png,POSITIVE,0.617791176,Hoop District reports- Neil Dalal- Dalal of Hoop- Beal- knee- questionable for Friday- Friday game- Cavaliers- Neil- Dalal,consecutive day Thursday- day Thursday- Wizards' first game- Beal was unable- unable to practice- All-Star break- unavailable Friday due- Deni Avdija- Avdija and Monte- Monte Morris,Beal was unable to practice for a second consecutive day on friday . if the 29-year-old is unavailable-,Beal (knee
Jalen Green,Green (groin) won't play in Friday's game versus the Warriors and is considered day-to-day- Coty M. Davis of SI.com reports.,"Green also missed Wednesday's practice due to a left groin strain. Coach Stephen Silas also said there is a ""small chance"" at least one of Green and Kevin Porter (foot) can play in Sunday's matchup with Portland. Daishen Nix- Josh Christopher and TyTy Washington will likely see increased roles in his absence.",https://b.fssta.com/uploads/application/nba/headshots/3593.vresize.280.280.medium.66.png,NEGATIVE,0.838597059,Coty M. Davis- Friday game versus- Green- play in Friday- versus the Warriors- Davis of SI.com- SI.com reports- Coty- Friday- Warriors,missed Wednesday practice- left groin strain- Coach Stephen Silas- practice due- Kevin Porter- Wednesday- Josh Christopher- matchup with Portland- strain- Daishen Nix,daishen Nix- Josh Christopher and TyTy Washington will likely see increased roles in his absence . a left groin,Green (groin
