,Description,Sentiment,Sentiment Score,Keywords-Description,Summary,PFP
OG Anunoby,Anunoby (wrist) is available for Thursday's game against the Pelicans- Michael Grange of Sportsnet.ca reports.,POSITIVE,0.979652643,Michael Grange- Grange of Sportsnet.ca- Sportsnet.ca reports- Anunoby- wrist- Thursday game- Pelicans- Michael- Grange- reports,anunoby will return from a sprained left wrist after nine consecutive absences . the Raptors trading for jak,https://b.fssta.com/uploads/application/nba/headshots/2369.vresize.280.280.medium.98.png
Ben Simmons,Simmons is questionable for Friday's game versus the Bulls due to left knee soreness- Alex Schiffer of The Athletic reports.,NEGATIVE,0.981586874,Friday game versus- left knee soreness- Alex Schiffer- Athletic reports- questionable for Friday- versus the Bulls- Bulls due- Simmons is questionable- due to left- left knee,if Simmons cannot suit up against Chicago- his next opportunity will be Sunday's matchup with Atlanta . if he cannot suit,https://b.fssta.com/uploads/application/nba/headshots/2208.vresize.280.280.medium.31.png
Jamal Murray,Head coach Michael Malone said Murray (knee) will play Thursday against the Cavaliers- Spencer Davies of BasketballNews.com reports.,POSITIVE,0.997615933,coach Michael Malone- Head coach Michael- Malone said Murray- Spencer Davies- knee- play Thursday- Davies of BasketballNews.com- BasketballNews.com reports- Murray- Cavaliers,he was initially listed as questionable for the Nuggets' first game of the second-half schedule . but it appears that,https://b.fssta.com/uploads/application/nba/headshots/2210.vresize.280.280.medium.31.png
Bobby Portis,Portis (knee) isn't on the injury report for Friday's game against the Heat.,POSITIVE,0.990188897,report for Friday- Friday game- injury report- Portis- knee- Heat- injury- report- game,portis was expected to return to action after participating fully in practice recently . he's officially cleared to suit up as the Bucks,https://b.fssta.com/uploads/application/nba/headshots/2071.vresize.280.280.medium.49.png
Giannis Antetokounmpo,Antetokounmpo (wrist) is doubtful for Friday's game versus Miami.,NEGATIVE,0.98663646,game versus Miami- Friday game versus- Antetokounmpo- wrist- doubtful for Friday- Miami- Friday- doubtful- game- versus,Antetokounmpo suffered a right wrist sprain in the Bucks' final before the break . he,https://b.fssta.com/uploads/application/nba/headshots/1851.vresize.280.280.medium.79.png
Khris Middleton,Middleton (knee) isn't on the injury report for Friday's game against the Heat.,NEGATIVE,0.976196945,report for Friday- Friday game- injury report- Middleton- knee- Heat- injury- report- game,middleton has had limited minutes off the bench since returning to action in late January . he has averaged 15.3 points- ,https://b.fssta.com/uploads/application/nba/headshots/1767.vresize.280.280.medium.68.png
Trae Young,Young was excused from Thursday's practice session due to personal reasons- Jeff Schultz of The Athletic reports.,NEGATIVE,0.991007626,Jeff Schultz- Thursday practice session- Athletic reports- practice session due- excused from Thursday- Young was excused- personal reasons- Jeff- due to personal- Thursday,the Hawks return from the all-Star break against the Cavaliers . Young posted five consecutive double-doubles heading into the lay,https://b.fssta.com/uploads/application/nba/headshots/2490.vresize.280.280.medium.80.png
John Collins,Collins (concussion) has been ruled out for Friday's game against Cleveland- Kevin Chouinard of the Hawks' official site reports.,NEGATIVE,0.999149084,Kevin Chouinard- Hawks' official site- official site reports- game against Cleveland- Collins- concussion- Friday game- Cleveland- Kevin- Hawks',Collins landed in the NBA's concussion protocol . he was unable to gain clearance during the All-Star break,https://b.fssta.com/uploads/application/nba/headshots/2360.vresize.280.280.medium.96.png
Mitchell Robinson,Robinson (thumb) participated in Thursday's practice session- Ian Begley of SportsNet New York reports.,POSITIVE,0.995623052,Thursday practice session- Ian Begley- participated in Thursday- York reports- Robinson- thumb- Begley of SportsNet- SportsNet New York- Ian- Thursday,the center hasn't played since undergoing thumb surgery since Jan. 18 . he's trending in the right direction following,https://b.fssta.com/uploads/application/nba/headshots/2529.vresize.280.280.medium.68.png
Jerami Grant,Grant has been ruled out for Thursday's matchup in Sacramento due to rest purposes.,POSITIVE,0.658282459,Thursday matchup- matchup in Sacramento- Sacramento due- rest purposes- due to rest- Thursday- Grant- ruled- matchup- due,the Trail Blazers were delayed in Portland due to weather-related issues . Grant was expected to suit up after missing the final two games,https://b.fssta.com/uploads/application/nba/headshots/1944.vresize.280.280.medium.38.png
Damian Lillard,Lillard is out for Thursday's game versus the Kings due to rest.,NEGATIVE,0.997253001,Thursday game versus- versus the Kings- Kings due- due to rest- Thursday- Lillard- rest- game- versus- due,the star guard's absence could be due to the flight to Sacramento being delayed due to weather issues . the team doesn't play against,https://b.fssta.com/uploads/application/nba/headshots/1810.vresize.280.280.medium.72.png
Bradley Beal,Beal (knee) is questionable for Friday's game against the Cavaliers- Neil Dalal of Hoop District reports.,POSITIVE,0.617791176,Hoop District reports- Neil Dalal- Dalal of Hoop- Beal- knee- questionable for Friday- Friday game- Cavaliers- Neil- Dalal,Beal was unable to practice for a second consecutive day on friday . if the 29-year-old is unavailable-,https://b.fssta.com/uploads/application/nba/headshots/1818.vresize.280.280.medium.75.png
Jalen Green,Green (groin) won't play in Friday's game versus the Warriors and is considered day-to-day- Coty M. Davis of SI.com reports.,NEGATIVE,0.838597059,Coty M. Davis- Friday game versus- Green- play in Friday- versus the Warriors- Davis of SI.com- SI.com reports- Coty- Friday- Warriors,daishen Nix- Josh Christopher and TyTy Washington will likely see increased roles in his absence . a left groin,https://b.fssta.com/uploads/application/nba/headshots/3593.vresize.280.280.medium.66.png
